account_id,channel,soucrce,platform,campaign_name,group_name,keyword,device,date,impressions,clicks,cost,conversions,revenue,rank,
xxx1,search ad,naver,파워링크,* NC 파워링크,*  fmgt,FMGT,PC,2022.4.26,18,2,880,0,0,1.0 ,1
xxx1,search ad,naver,GDN,* NC 전환,*  fmgt,-,PC,2022.4.27,14,2,880,0,0,1.0 ,1
xxx1,search ad,naver,파워링크,* NC 파워링크,*  fmgt,FMGT,PC,2022.4.28,23,2,880,0,0,1.0 ,1
xxx1,search ad,naver,파워링크,* NC 파워링크,*  fmgt,FMGT,PC,2022.4.29,8,1,429,0,0,1.0 ,1
xxx1,search ad,naver,파워링크,* NC 파워링크,*  fmgt,FMGT,PC,2022.4.30,12,5,2134,0,0,1.0 ,1
xxx1,display ad,google,GDN,* NC 전환,*  fmgt,FMGT,모바일,2022.4.25,39,1,143,0,0,1.9 ,2
xxx1,display ad,google,GDN,* NC 전환,*  fmgt,FMGT,모바일,2022.4.26,55,2,264,0,0,1.9 ,2
xxx1,search ad,naver,파워링크,* NC 파워링크,*  fmgt,FMGT,모바일,2022.4.27,39,2,264,0,0,2.0 ,1
xxx1,search ad,naver,파워링크,* NC 파워링크,*  fmgt,FMGT,모바일,2022.4.28,42,3,396,0,0,2.0 ,1
xxx1,search ad,naver,파워링크,* NC 파워링크,*  fmgt,FMGT,모바일,2022.4.29,62,1,132,0,0,1.9 ,1
xxx1,search ad,naver,파워링크,* NC 파워링크,*  fmgt,FMGT,모바일,2022.4.30,54,2,275,6,35850,2.0 ,1
xxx1,display ad,google,GDN,* NC 전환,*  fmgt,FMGT수분쿠션블러셔,모바일,2022.4.29,3,2,154,0,0,1,2
xxx1,display ad,google,GDN,* NC 전환,*  fmgt,FMGT쿠션,모바일,2022.4.25,3,1,231,0,0,2,2
xxx1,search ad,naver,파워링크,* NC 파워링크,*  fmgt,골드콜라겐앰플투웨이팩트,PC,2022.4.28,1,1,209,3,34620,2,1
xxx1,search ad,naver,파워링크,* NC 파워링크,*  fmgt,더페이스샵잉크래스팅파운데이션,PC,2022.4.28,37,1,517,0,0,1.1,1
xxx1,search ad,naver,파워링크,* NC 파워링크,*  fmgt,더페이스샵잉크래스팅파운데이션,PC,2022.4.29,24,1,682,2,20,1.1,1
xxx1,search ad,naver,파워링크,* NC 파워링크,*  fmgt,잉크래스팅,모바일,2022.4.28,13,1,429,0,0,2.5 ,1
xxx1,display ad,google,GDN,* NC 전환,*     더페이스샵,5분염색약,모바일,2022.4.30,30,1,2332,0,0,1.1,2
