account_id,channel,source,platform,campaign_name,group_name,keyword,creative,imagePath,device,date,impressions,clicks,cost,conversions,revenue,rank
tirzcommerce,search ad,naver,파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),-,,,PC,2026.3.1,2,0,0,0,0,3
tirzcommerce,search ad,naver,파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),-,,,PC,2026.3.2,2,0,0,0,0,1.5
tirzcommerce,search ad,naver,파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),-,,,PC,2026.3.3,8,0,0,0,0,2.9
tirzcommerce,search ad,naver,파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),-,,,PC,2026.3.4,4,0,0,0,0,4.5
tirzcommerce,search ad,naver,파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),-,,,PC,2026.3.5,3,0,0,0,0,1
tirzcommerce,search ad,naver,파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),-,,,PC,2026.3.6,2,0,0,0,0,2
tirzcommerce,search ad,naver,파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),-,,,PC,2026.3.8,3,0,0,0,0,2.7
tirzcommerce,search ad,naver,파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),-,,,PC,2026.3.9,7,0,0,0,0,1.6
tirzcommerce,search ad,naver,파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),-,,,PC,2026.3.10,4,0,0,0,0,3.8
tirzcommerce,search ad,naver,파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),-,,,PC,2026.3.11,7,0,0,0,0,1.9
tirzcommerce,search ad,naver,파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),-,,,PC,2026.3.12,3,0,0,0,0,2.3
tirzcommerce,search ad,naver,파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),-,,,PC,2026.3.13,4,0,0,0,0,3.3
tirzcommerce,search ad,naver,파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),-,,,PC,2026.3.16,5,0,0,0,0,3
tirzcommerce,search ad,naver,파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),-,,,PC,2026.3.17,3,0,0,0,0,2
tirzcommerce,search ad,naver,파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),-,,,PC,2026.3.18,9,0,0,0,0,2.9
tirzcommerce,search ad,naver,파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),-,,,PC,2026.3.19,2,0,0,0,0,3.5
tirzcommerce,search ad,naver,파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),-,,,PC,2026.3.20,3,0,0,0,0,2.7
