"캠페인 보고서(2026.02.01.~2026.02.28.),1738680",,,,,,,,,,,
캠페인유형,캠페인,광고그룹,키워드,PC/모바일 매체,일별,노출수,클릭수,총비용,구매완료 전환수,구매완료 전환매출액(원),평균노출순위
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),-,PC,2026.2.1,3,0,0,0,0,2.7
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),-,PC,2026.2.2,6,1,1265,0,0,3
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),-,PC,2026.2.3,2,0,0,0,0,1.5
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),-,PC,2026.2.4,2,0,0,0,0,4.5
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),-,PC,2026.2.5,4,0,0,0,0,2.5
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),-,PC,2026.2.6,2,0,0,0,0,2
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),-,PC,2026.2.7,1,0,0,0,0,2
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),-,PC,2026.2.9,7,1,1034,0,0,2
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),-,PC,2026.2.10,8,0,0,0,0,3
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),-,PC,2026.2.11,3,0,0,0,0,2
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),-,PC,2026.2.12,5,0,0,0,0,3.4
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),-,PC,2026.2.13,2,0,0,0,0,5.5
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),-,PC,2026.2.14,2,0,0,0,0,2
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),-,PC,2026.2.15,2,0,0,0,0,1
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),-,PC,2026.2.17,2,0,0,0,0,1
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),-,PC,2026.2.18,3,0,0,0,0,3.7
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),-,PC,2026.2.19,2,0,0,0,0,2
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),-,PC,2026.2.20,3,0,0,0,0,2.7
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),-,PC,2026.2.23,1,0,0,0,0,1
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),-,PC,2026.2.24,2,0,0,0,0,2
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),-,PC,2026.2.25,4,0,0,0,0,2
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),-,PC,2026.2.26,4,0,0,0,0,4
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),-,PC,2026.2.27,4,0,0,0,0,3
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),다이어트효소,PC,2026.2.25,1,0,0,0,0,29
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),리파아제효소,PC,2026.2.2,5,0,0,0,0,4.8
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),리파아제효소,PC,2026.2.3,4,0,0,0,0,5.5
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),리파아제효소,PC,2026.2.4,6,0,0,0,0,4.8
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),리파아제효소,PC,2026.2.6,3,0,0,0,0,5
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),리파아제효소,PC,2026.2.7,1,0,0,0,0,3
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),리파아제효소,PC,2026.2.9,8,0,0,0,0,5
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),리파아제효소,PC,2026.2.10,3,0,0,0,0,5.3
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),리파아제효소,PC,2026.2.11,1,0,0,0,0,6
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),리파아제효소,PC,2026.2.12,3,0,0,0,0,5.3
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),리파아제효소,PC,2026.2.13,5,0,0,0,0,5
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),리파아제효소,PC,2026.2.14,1,0,0,0,0,3
